Object,Source catalog,ICRS coordinates,Galaxy age,Redshift (z) / Distance,Morphological type,Angular size,Radial velocity,Physical size,Magnitude,Interest score,Distance method,Data source
PGC 1952623,HECATE v1.1 via VizieR,119.736258 31.550953,EST 11.4 billion years — object-specific early-type morphology stellar-population model; not a direct measurement,15.64500000 / 236.24 million ly,Elliptical; de Vaucouleurs T=-5.0,0.234 × 0.081 arcmin,"5,217.0 km/s",DERIVED 16.1 × 5.6 thousand ly,17.060 — catalog band requires verification,61.876 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 5807741,HECATE v1.1 via VizieR,41.320831 7.584721,EST 10.0 billion years — object-specific general galaxy stellar-population model; not a direct measurement,Not available / 362.86 million ly,Not available,Not available,"8,039.0 km/s",Not available,Not available,52.000 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 2092537,HECATE v1.1 via VizieR,129.949485 37.077867,EST 7.8 billion years — object-specific late-type stellar-population model; not a direct measurement,16.63800000 / 317.94 million ly,Sm / Magellanic spiral; de Vaucouleurs T=7.8,0.175 × 0.127 arcmin,"6,626.4 km/s",DERIVED 16.2 × 11.7 thousand ly,17.625 — catalog band requires verification,61.075 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 11193,HECATE v1.1 via VizieR,44.447541 6.027639,EST 11.0 billion years — object-specific early-type morphology stellar-population model; not a direct measurement,13.91400000 / 302.99 million ly,Elliptical; de Vaucouleurs T=-4.1,0.244 × 0.220 arcmin,"7,326.7 km/s",DERIVED 21.5 × 19.4 thousand ly,Not available,58.976 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 2063782,HECATE v1.1 via VizieR,172.611039 35.390817,EST 11.0 billion years — object-specific early-type morphology stellar-population model; not a direct measurement,16.10400000 / 583.92 million ly,Elliptical; de Vaucouleurs T=-5.0,0.182 × 0.071 arcmin,"12,798.9 km/s",DERIVED 30.9 × 12.1 thousand ly,17.688 — catalog band requires verification,61.040 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 3408329,HECATE v1.1 via VizieR,160.813045 57.717857,EST 11.4 billion years — object-specific early-type morphology stellar-population model; not a direct measurement,16.20200000 / 610.50 million ly,Elliptical; de Vaucouleurs T=-5.0,0.150 × 0.135 arcmin,"13,763.8 km/s",DERIVED 26.6 × 24.0 thousand ly,17.891 — catalog band requires verification,60.709 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 3998764,HECATE v1.1 via VizieR,150.458820 44.573777,EST 7.7 billion years — object-specific late-type stellar-population model; not a direct measurement,16.18500000 / 460.51 million ly,Scd–Sd spiral; de Vaucouleurs T=6.8,0.401 × 0.116 arcmin,"9,914.7 km/s",DERIVED 53.7 × 15.5 thousand ly,17.306 — catalog band requires verification,62.298 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 37397,HECATE v1.1 via VizieR,178.792554 50.155305,EST 9.7 billion years — object-specific spiral stellar-population model; not a direct measurement,13.43400000 / 463.55 million ly,Sbc–Sc spiral; de Vaucouleurs T=4.7,0.493 × 0.126 arcmin,"9,920.5 km/s",DERIVED 66.5 × 17.0 thousand ly,15.448 — catalog band requires verification,64.524 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 24754,HECATE v1.1 via VizieR,132.111324 40.756096,EST 11.6 billion years — object-specific early-type morphology stellar-population model; not a direct measurement,16.15100000 / 550.83 million ly,Elliptical; de Vaucouleurs T=-5.0,0.199 × 0.120 arcmin,"12,184.2 km/s",DERIVED 31.9 × 19.2 thousand ly,17.313 — catalog band requires verification,61.483 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 6741350,HECATE v1.1 via VizieR,38.162501 36.013889,EST 9.9 billion years — object-specific general galaxy stellar-population model; not a direct measurement,Not available / 454.31 million ly,Not available,Not available,"9,857.0 km/s",Not available,Not available,52.000 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 197800,HECATE v1.1 via VizieR,43.949848 41.988967,EST 9.0 billion years — object-specific general galaxy stellar-population model; not a direct measurement,15.08400000 / 206.52 million ly,Not available,0.195 × 0.195 arcmin,"4,423.0 km/s",DERIVED 11.7 × 11.7 thousand ly,17.460 — catalog band requires verification,59.320 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 29030,HECATE v1.1 via VizieR,150.405849 39.627334,EST 8.7 billion years — object-specific spiral stellar-population model; not a direct measurement,13.80300000 / 305.57 million ly,Scd–Sd spiral; de Vaucouleurs T=5.8,0.970 × 0.114 arcmin,"6,969.1 km/s",DERIVED 86.2 × 10.1 thousand ly,15.490 — catalog band requires verification,66.390 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 6722812,HECATE v1.1 via VizieR,36.528787 37.174986,EST 9.5 billion years — object-specific general galaxy stellar-population model; not a direct measurement,Not available / 566.56 million ly,Not available,Not available,"12,540.3 km/s",Not available,Not available,52.000 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 2193182,HECATE v1.1 via VizieR,50.250954 42.142302,EST 10.7 billion years — object-specific lenticular/early-type stellar-population model; not a direct measurement,13.93000000 / 255.75 million ly,Lenticular / S0; de Vaucouleurs T=-2.0,0.294 × 0.158 arcmin,"5,564.3 km/s",DERIVED 21.9 × 11.8 thousand ly,16.025 — catalog band requires verification,63.151 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 1800740,HECATE v1.1 via VizieR,155.245058 27.199446,EST 11.7 billion years — object-specific early-type morphology stellar-population model; not a direct measurement,15.15400000 / 523.56 million ly,Elliptical; de Vaucouleurs T=-5.0,0.184 × 0.157 arcmin,"11,524.5 km/s",DERIVED 28.0 × 23.9 thousand ly,16.873 — catalog band requires verification,61.863 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 6741053,HECATE v1.1 via VizieR,19.666668 35.215279,EST 9.3 billion years — object-specific general galaxy stellar-population model; not a direct measurement,19.24100000 / 233.38 million ly,Not available,Not available,"5,096.0 km/s",Not available,Not available,54.000 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 5064832,HECATE v1.1 via VizieR,69.927673 24.420748,EST 7.3 billion years — object-specific late-type stellar-population model; not a direct measurement,15.01400000 / 164.71 million ly,Irregular; de Vaucouleurs T=10.0,0.267 × 0.208 arcmin,"3,603.6 km/s",DERIVED 12.8 × 10.0 thousand ly,18.339 — catalog band requires verification,61.068 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 3522911,HECATE v1.1 via VizieR,123.603150 51.344878,EST 9.9 billion years — object-specific general galaxy stellar-population model; not a direct measurement,17.27900000 / 601.83 million ly,Not available,0.200 × 0.058 arcmin,"13,291.0 km/s",DERIVED 35.0 × 10.2 thousand ly,18.636 — catalog band requires verification,58.800 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 2201158,HECATE v1.1 via VizieR,14.712666 42.549248,EST 10.9 billion years — object-specific early-type morphology stellar-population model; not a direct measurement,12.92000000 / 463.85 million ly,Elliptical; de Vaucouleurs T=-5.0,0.379 × 0.379 arcmin,"10,014.0 km/s",DERIVED 51.1 × 51.1 thousand ly,14.430 — catalog band requires verification,65.086 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 1998743,HECATE v1.1 via VizieR,25.086968 32.476677,EST 9.3 billion years — object-specific general galaxy stellar-population model; not a direct measurement,15.40600000 / 501.21 million ly,Not available,0.141 × 0.115 arcmin,"11,001.0 km/s",DERIVED 20.6 × 16.8 thousand ly,17.246 — catalog band requires verification,59.318 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 3447140,HECATE v1.1 via VizieR,124.490404 37.752990,EST 8.6 billion years — object-specific spiral stellar-population model; not a direct measurement,16.71300000 / 560.53 million ly,Sbc–Sc spiral; de Vaucouleurs T=5.0,0.272 × 0.061 arcmin,"12,416.1 km/s",DERIVED 44.3 × 9.9 thousand ly,18.077 — catalog band requires verification,61.088 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 3450750,HECATE v1.1 via VizieR,130.397773 42.122303,EST 10.2 billion years — object-specific lenticular/early-type stellar-population model; not a direct measurement,14.46500000 / 434.41 million ly,Lenticular / S0; de Vaucouleurs T=-2.0,0.306 × 0.157 arcmin,"9,394.8 km/s",DERIVED 38.7 × 19.8 thousand ly,16.249 — catalog band requires verification,62.975 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 3443934,HECATE v1.1 via VizieR,117.964428 23.179155,EST 8.7 billion years — object-specific spiral stellar-population model; not a direct measurement,16.71300000 / 608.36 million ly,Sbc–Sc spiral; de Vaucouleurs T=5.0,0.230 × 0.060 arcmin,"13,781.8 km/s",DERIVED 40.7 × 10.6 thousand ly,18.482 — catalog band requires verification,60.920 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 31119,HECATE v1.1 via VizieR,158.059401 43.798200,EST 9.6 billion years — object-specific early-spiral stellar-population model; not a direct measurement,16.69300000 / 395.04 million ly,Sa–Sb spiral; de Vaucouleurs T=1.4,0.138 × 0.107 arcmin,"8,418.8 km/s",DERIVED 15.9 × 12.3 thousand ly,17.365 — catalog band requires verification,61.187 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 165358,HECATE v1.1 via VizieR,48.798300 64.881104,EST 8.8 billion years — object-specific spiral stellar-population model; not a direct measurement,Not available / 118.88 million ly,Sbc–Sc spiral; de Vaucouleurs T=5.0,0.248 × 0.182 arcmin,"2,390.1 km/s",DERIVED 8.6 × 6.3 thousand ly,17.540 — catalog band requires verification,59.452 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 8282,HECATE v1.1 via VizieR,32.537583 36.704528,EST 8.6 billion years — object-specific spiral stellar-population model; not a direct measurement,Not available / 496.28 million ly,Scd–Sd spiral; de Vaucouleurs T=5.3,0.443 × 0.227 arcmin,"10,877.1 km/s",DERIVED 64.0 × 32.8 thousand ly,15.058 — catalog band requires verification,62.714 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 1647823,HECATE v1.1 via VizieR,141.656819 21.331619,EST 11.1 billion years — object-specific early-type morphology stellar-population model; not a direct measurement,16.74600000 / 361.03 million ly,Elliptical; de Vaucouleurs T=-5.0,0.174 × 0.074 arcmin,"7,887.3 km/s",DERIVED 18.3 × 7.8 thousand ly,17.577 — catalog band requires verification,61.119 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 2250201,HECATE v1.1 via VizieR,120.538198 44.706274,EST 10.2 billion years — object-specific early-spiral stellar-population model; not a direct measurement,14.05700000 / 442.89 million ly,Early spiral / S0-a; de Vaucouleurs T=1.0,0.347 × 0.189 arcmin,"9,571.9 km/s",DERIVED 44.7 × 24.3 thousand ly,16.337 — catalog band requires verification,63.051 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 2179011,HECATE v1.1 via VizieR,56.867583 41.307167,EST 9.7 billion years — object-specific early-spiral stellar-population model; not a direct measurement,Not available / 223.52 million ly,Sa–Sb spiral; de Vaucouleurs T=2.0,0.406 × 0.245 arcmin,"4,850.0 km/s",DERIVED 26.4 × 15.9 thousand ly,16.370 — catalog band requires verification,61.254 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 2065536,HECATE v1.1 via VizieR,142.903180 35.504151,EST 9.7 billion years — object-specific general galaxy stellar-population model; not a direct measurement,17.37600000 / 336.53 million ly,Not available,0.139 × 0.097 arcmin,"7,051.1 km/s",DERIVED 13.6 × 9.5 thousand ly,18.016 — catalog band requires verification,58.556 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 3996343,HECATE v1.1 via VizieR,124.246265 26.674097,EST 7.2 billion years — object-specific late-type stellar-population model; not a direct measurement,17.11400000 / 285.15 million ly,Irregular; de Vaucouleurs T=10.0,0.207 × 0.133 arcmin,"6,117.1 km/s",DERIVED 17.2 × 11.0 thousand ly,17.880 — catalog band requires verification,60.948 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 25804,HECATE v1.1 via VizieR,137.387447 20.407633,EST 7.5 billion years — object-specific late-type stellar-population model; not a direct measurement,14.75100000 / 366.46 million ly,Scd–Sd spiral; de Vaucouleurs T=6.4,0.261 × 0.152 arcmin,"8,010.1 km/s",DERIVED 27.8 × 16.2 thousand ly,15.656 — catalog band requires verification,63.388 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 87144,HECATE v1.1 via VizieR,31.961475 18.983909,EST 7.8 billion years — object-specific late-type stellar-population model; not a direct measurement,18.23200000 / 200.19 million ly,Sm / Magellanic spiral; de Vaucouleurs T=9.0,Not available,"4,366.5 km/s",Not available,Not available,56.000 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
